"Date","Price","Open","High","Low","Change %"
"May 27, 2020","30.031","29.990","30.088","29.895","0.24%"
"May 26, 2020","29.960","30.064","30.083","29.938","-0.22%"
"May 25, 2020","30.025","30.083","30.115","30.009","-0.15%"
"May 22, 2020","30.069","29.945","30.134","29.884","0.49%"
"May 21, 2020","29.922","29.926","29.983","29.858","0.02%"
"May 20, 2020","29.915","29.946","30.037","29.891","-0.05%"
"May 19, 2020","29.930","29.941","29.993","29.897","-0.00%"
"May 18, 2020","29.931","29.969","30.071","29.900","-0.08%"
"May 15, 2020","29.954","29.894","29.992","29.868","0.25%"
"May 14, 2020","29.879","29.906","30.003","29.850","-0.06%"
"May 13, 2020","29.898","29.931","29.948","29.848","-0.04%"
"May 12, 2020","29.910","29.884","29.943","29.830","0.16%"
"May 11, 2020","29.861","29.855","29.954","29.806","0.05%"
"May 08, 2020","29.845","29.925","29.934","29.830","-0.13%"
"May 07, 2020","29.885","30.004","30.044","29.874","-0.37%"
"May 06, 2020","29.996","29.874","30.019","29.820","0.44%"
"May 05, 2020","29.864","29.817","29.895","29.716","0.19%"
"May 04, 2020","29.808","29.908","29.959","29.756","-0.28%"
"May 01, 2020","29.893","29.792","29.945","29.776","0.39%"
"Apr 30, 2020","29.776","29.873","29.913","29.674","-0.18%"
"Apr 29, 2020","29.829","29.975","30.004","29.828","-0.44%"
"Apr 28, 2020","29.960","30.040","30.042","29.944","-0.23%"
"Apr 27, 2020","30.030","30.094","30.120","29.972","-0.17%"
"Apr 24, 2020","30.080","30.081","30.125","30.035","0.06%"
"Apr 23, 2020","30.061","30.099","30.118","30.025","-0.07%"
"Apr 22, 2020","30.082","30.093","30.132","30.041","0.01%"
"Apr 21, 2020","30.078","30.031","30.142","30.031","0.16%"
"Apr 20, 2020","30.029","30.050","30.083","29.990","-0.02%"
"Apr 17, 2020","30.035","30.121","30.132","30.020","-0.24%"
"Apr 16, 2020","30.106","30.095","30.148","30.052","0.06%"
"Apr 15, 2020","30.087","30.057","30.131","29.955","0.16%"
"Apr 14, 2020","30.039","30.096","30.121","30.010","-0.10%"
"Apr 13, 2020","30.069","30.041","30.136","30.033","0.11%"
"Apr 10, 2020","30.036","30.078","30.101","29.984","-0.11%"
"Apr 09, 2020","30.068","30.132","30.142","30.016","-0.13%"
"Apr 08, 2020","30.107","30.095","30.152","30.002","0.06%"
"Apr 07, 2020","30.089","30.215","30.232","29.978","-0.36%"
"Apr 06, 2020","30.199","30.265","30.324","30.165","-0.12%"
"Apr 03, 2020","30.235","30.200","30.330","30.122","0.16%"
"Apr 02, 2020","30.186","30.291","30.324","30.166","-0.35%"
"Apr 01, 2020","30.292","30.286","30.376","30.222","0.08%"
"Mar 31, 2020","30.268","30.280","30.343","30.184","-0.03%"
"Mar 30, 2020","30.276","30.196","30.330","30.176","0.31%"
"Mar 27, 2020","30.181","30.219","30.279","30.100","-0.08%"
"Mar 26, 2020","30.204","30.308","30.334","30.188","-0.29%"
"Mar 25, 2020","30.293","30.166","30.333","30.124","0.44%"
"Mar 24, 2020","30.161","30.283","30.346","30.118","-0.29%"
"Mar 23, 2020","30.249","30.280","30.444","30.216","-0.05%"
"Mar 20, 2020","30.265","30.479","30.479","30.186","-0.65%"
"Mar 19, 2020","30.464","30.361","30.570","30.305","0.38%"
"Mar 18, 2020","30.350","30.248","30.455","30.149","0.52%"
"Mar 17, 2020","30.194","30.245","30.327","30.183","-0.14%"
"Mar 16, 2020","30.236","30.144","30.294","30.025","0.34%"
"Mar 13, 2020","30.135","30.182","30.329","30.007","-0.11%"
"Mar 12, 2020","30.167","30.160","30.241","30.056","0.08%"
"Mar 11, 2020","30.143","29.941","30.186","29.866","0.75%"
"Mar 10, 2020","29.918","30.015","30.066","29.840","-0.22%"
"Mar 09, 2020","29.985","29.915","30.136","29.915","0.28%"
"Mar 06, 2020","29.900","29.955","29.999","29.862","-0.15%"
"Mar 05, 2020","29.946","29.903","29.985","29.847","0.11%"
"Mar 04, 2020","29.912","29.847","30.005","29.810","0.07%"
"Mar 03, 2020","29.891","29.848","30.065","29.740","0.14%"
"Mar 02, 2020","29.850","30.137","30.184","29.847","-0.90%"
"Feb 28, 2020","30.122","30.252","30.362","30.092","-0.46%"
"Feb 27, 2020","30.261","30.274","30.382","30.158","-0.02%"
"Feb 26, 2020","30.267","30.420","30.448","30.243","-0.42%"
"Feb 25, 2020","30.396","30.442","30.476","30.310","-0.11%"
"Feb 24, 2020","30.430","30.454","30.533","30.399","0.15%"
"Feb 21, 2020","30.385","30.393","30.537","30.300","0.07%"
"Feb 20, 2020","30.363","30.177","30.476","30.105","0.69%"
"Feb 19, 2020","30.156","30.114","30.194","30.055","0.19%"
"Feb 18, 2020","30.098","30.021","30.173","30.006","0.30%"
"Feb 17, 2020","30.009","30.025","30.046","29.972","-0.05%"
"Feb 14, 2020","30.024","30.014","30.053","29.959","0.09%"
"Feb 13, 2020","29.998","30.015","30.038","29.892","0.06%"
"Feb 12, 2020","29.981","30.039","30.049","29.913","-0.14%"
"Feb 11, 2020","30.022","30.094","30.100","29.921","-0.21%"
"Feb 10, 2020","30.085","30.178","30.219","30.034","-0.28%"
"Feb 07, 2020","30.169","30.081","30.221","30.029","0.33%"
"Feb 06, 2020","30.070","30.053","30.118","29.958","0.18%"
"Feb 05, 2020","30.016","30.098","30.194","29.952","-0.23%"
"Feb 04, 2020","30.085","30.250","30.310","30.088","-0.50%"
"Feb 03, 2020","30.237","30.355","30.395","30.229","-0.36%"
"Jan 31, 2020","30.346","30.264","30.421","30.157","0.32%"
"Jan 30, 2020","30.250","30.094","30.397","30.025","0.58%"
"Jan 29, 2020","30.076","30.072","30.160","30.007","0.07%"
"Jan 28, 2020","30.056","30.156","30.202","30.058","-0.40%"
"Jan 27, 2020","30.177","30.050","30.197","30.045","0.45%"
"Jan 24, 2020","30.041","30.047","30.091","29.965","0.03%"
"Jan 23, 2020","30.031","29.995","30.097","29.928","0.16%"
"Jan 22, 2020","29.982","30.053","30.070","29.933","-0.21%"
"Jan 21, 2020","30.046","29.965","30.071","29.897","0.31%"
"Jan 20, 2020","29.954","29.965","29.992","29.911","0.02%"
"Jan 17, 2020","29.948","29.929","29.986","29.858","0.11%"
"Jan 16, 2020","29.915","29.944","29.965","29.881","0.00%"
"Jan 15, 2020","29.915","29.930","30.027","29.855","0.05%"
"Jan 14, 2020","29.901","29.895","29.978","29.838","0.10%"
"Jan 13, 2020","29.872","29.975","29.999","29.855","-0.29%"
"Jan 10, 2020","29.960","29.978","30.021","29.933","-0.03%"
"Jan 09, 2020","29.968","30.014","30.046","29.892","-0.16%"
"Jan 08, 2020","30.017","30.055","30.149","29.994","-0.07%"
"Jan 07, 2020","30.039","30.059","30.096","29.982","-0.06%"
"Jan 06, 2020","30.056","30.053","30.118","30.000","0.04%"
"Jan 03, 2020","30.044","29.999","30.126","29.958","0.19%"
"Jan 02, 2020","29.987","29.986","30.089","29.963","0.24%"
"Jan 01, 2020","29.914","29.914","29.914","29.914","0.02%"
